x,y
turd rent,1
confusing dont,1
jokes effects slasher bad,1
,1
,1
,0
bad awful,0
worse,1
dont scary,1
effects,1
scared,1
minutes laughable bad dubbing gore,0
,1
fetched cheap,1
trash couldnt bad bother mess minutes mess awful awful,0
dont itll,1
blockbuster,1
itll dont dont,1
laughing poorly bad bad confusing waste,0
dont dont dont chore,0
dont couldnt,0
yourself,1
,1
costs,1
awful predictable bad directtovideo lame unfunny 110,0
minimum bad awful bad,0
sit minutes boring dont fooled couldnt,0
plain,1
redeeming crap pile tripe waste lousy worse,0
headache dont,0
predictable wouldnt meaningless costs,1
horrid bad stomach cheap offended dont crap dont waste,0
waste pathetic excuse dont waste,0
crap bad sit boring unnecessary padding continuity effects gore bad boring wouldnt,0
,0
seriously wouldnt unless honestly disgusting scary scary scary rent,1
blockbuster,1
pile cuz honestly swear,0
reviews couldnt effects,1
effects cgi dont minutes unoriginal cheap cgi unless bad,0
excuse waste bad bad gore,1
sucked,1
couldnt,1
dont,1
laughable awful bad,0
seriously bad bad unfunny laugh,0
,1
horrible holes redeeming horrible dont waste,0
waste amateurish mess garbage bother couldnt stupid 0,0
effects bad excuse laugh effects,0
,1
suspend poke sit popcorn laugh poke,1
worse,0
seeni stoned pathetic excuse,0
,1
dumb,0
,1
predictable,0
,1
jokes,1
bad ugh dont gore,0
bad reviews,1
dont,1
predictable dumb,0
excuse scary hype lame dont waste,0
dont dont unless waste,1
dumb wasting boring bad dont waste,0
minutes 310,0
halfway stupid disbelief suffice,0
bad budget,1
bad,1
horrible dont,1
laughable,0
fastforward terrible effects mess lame dont dont,0
yourself,1
seriously,0
,1
,1
,0
,1
couldnt sit shoddy lame couldnt 0,0
dont please,0
stupid suffice budget,0
pg13 fart jokes stupid laugh dont worthless jokes laughing jokes dont worthless avoid,0
kidding bad ityou bad,1
,0
horrible bad,0
dont wouldnt sit horrible dubbing,1
idiots,0
avoid budget,1
bad,0
,0
terrible,1
dont,1
lame bad 110 terrible lowest lowest horrid bad worse,0
avoid,1
crap dumb shelf couldnt,1
bad effects gore pointless warn budget cgi cgi seriously seriously dont cheap laugh cheap,0
,1
seriously confusing,1
bad dont cheap bad bad bad,0
minutes,1
budget effects bad rent,0
corny bad popcorn lowest,1
dont,1
bad bad dunno bad 010 cos 0,0
bad dont mins dont,0
effects dont,1
couldnt bad bad jokes worse,0
,0
,1
sit,1
dont,1
,1
,1
dont itll dont,1
tomatoes bad worse tomatoes tomatoes laughing stupid cheezy terrible 210,0
shelf,0
bad bad,1
yourself stupid please please,1
redeeming mess terrible,0
,1
budget,1
waste minutes waste minutes bad minutes dont,0
dont,1
sucked waste pathetic sucks joke dont,0
cringe,1
bad bad dont dont please waste,0
turd terrible,0
,0
renting boring waste,0
laughing bad,1
,1
,1
renting renting,1
seriously spoiler,0
soooo 90,1
,1
worse bad worse yourself ripped bad bad bad bad worse worse,0
sit,1
stupid stupid bad bad bad,0
,0
bad predictable dont,1
moviei bad honestly horrible,0
rented trash scary dont,1
,0
,0
reviews,1
,1
,1
,1
,1
waste waste dont jokes sit crappy,0
,1
sequels,1
cheap unnecessary effects effects cheap asleep,1
horrible boring bad waste scarier,0
,1
bad dont horrid bad dont,0
awful cringing cringing budget 210,0
please boring,0
terrible reviews awful bad lame sucks sucks illogical suck worse worse minutes idiots worse dont terrible dont minutes confusing minutes minutes sucks waste bad bad sucks terrible terrible,0
offended,1
bad moviei bad,0
,1
bad bad couldnt bad dont dont bad bad nudity bad bad bad bad sht,0
,1
rented trash dont,0
terrible,0
laugh,0
,1
moviei bad honestly horrible dont garbage,1
stupid laugh pointless,1
budget dumb,0
uwe boll worse slasher boll zombies slasher boring boring pointless gore shoddy gore 90 minutes jokes,0
poorly whatsoever wouldnt wouldnt,0
boring,1
zombies laughing costs,0
,1
sucks dont worse bad worse pointless,0
dont dont redeeming waste,0
stupid jokes budget effects effects horrible dont bad,0
awful laughable cheesy bad bad laugh unrealistic cheesy,0
,1
dont scary cgi,0
dont,1
halfway budget horrible dont,0
dont dont minutes gonna dont gonna gonna,1
,0
,0
budget rent,1
joke bad,0
scary scary stupid freaking spoiler stupid,0
bad 90 figured minutes seriously,1
bad bad,0
dont bad,0
trash boring dont minutes couldnt bad,0
bad,1
laugh dont cheap,1
avoid,0
cheap sucked crap,0
reviews idiots waste,0
bad,0
sucked bad spoiler waste reviews,0
spoiler joke dont,0
,0
,0
dont bad rental,1
reviews disbelief remotely explosions,0
reviews,1
awful dont wouldnt,0
,1
unless effects explosions pg13,1
offended,1
,1
continuity,1
,1
dont dont dont bad,0
tripe,0
junk yourself please,1
,1
eaten slugs slugs slugs slugs slugs slugs poorly dont scary laughable,0
horrible itbut,1
yourself,1
terrible cheesy,0
,1
disbelief dont bad dont plain horrible holes bad dont continuity remotely bad bad,0
,1
,1
bad headache,1
predictable,0
dont fooled,1
couldnt,0
fx plain bad dont stupid dont,0
,1
,1
spoiler reviews reviews rushed plain bad,1
plain,0
worse dont,0
waste terrible honestly,0
warn moviei jokes dont,0
90 minutes,1
fooled,1
,1
couldnt,1
dont,0
bad unfunny predictable bad lame predictable jokes unfunny jokes minutes dumb joke joke jokes jokes jokes,0
bad,1
,1
,0
couldnt,1
,0
suck jokes lame crap,0
couldnt,1
bad swear rubbish,0
bad,1
hype dont,1
bad bad stupid yourself yourself,0
cheap dont,0
,1
dont yourself,1
unless 0,0
boring,0
freaking jokes,1
dont spoiler,0
,1
,1
couldnt awful couldnt horrible unless,0
,1
,1
,1
,1
laugh bad 110,0
,1
,0
,1
,1
rented boring,0
avoid effects dont,1
bad,1
holes cheesy lame fx,0
gonna dont poorly sequels,0
warn awful continuity bad bad bad bad bad crap,0
minutes rushed cheesy crap scared dont dont dont sucks horrible boring dont dont waste wouldnt waste couldnt bothered,0
disgusting budget bad uwe boll budget uwe boll,0
poorly predictable spoiler dont bad,0
awful 0 terrible stupid horrible waste rental,0
poorly bad cheap effects bad please,0
worse,1
plain gore gore gore terrible,0
terrible disgusting poorly terrible bad terrible terrible terrible 210,0
dont rented jokes,1
,1
,0
plain sucked couldnt dont,0
bad,1
boring dont seagal 90 minutes mindless confusing holes seagal mess unless,0
reviews horrible bad please rent bad,0
waste waste disgusting spoiler nudity disgusting terrible horrible rented,0
spoiler excuse reviews crap bad,0
,1
dont unnecessary,0
,1
dont cheap cheap,1
awful bad dont iti,1
,1
,1
bad bad worse,0
bad corny awful corny awful,0
rubbish scared,1
minutes avoid minutes plain bad,0
waste effects terrible,0
bad bad awful awful,0
310,1
budget dont wouldnt dont,0
couldnt minutes reviews jokes,1
bad terrible,0
predictable holes yourself,1
boring terrible,0
boring dont,0
,1
bad,1
bad minutes minutes bad suck bad,0
toilet rubbish waste stupid 0 0 wouldnt,0
dont jokes,0
please laugh,1
boring minutes,1
dont minutes couldnt unless minutes minutes laugh scary,0
bad terrible couldnt,1
,1
bad 90 waste minutes,0
dont worse disgusting,0
,1
,1
budget budget awful spoiler budget,1
spoiling,1
worse terrible pointless boring bad,0
dont dont,1
bad effects renting,0
suffice,1
budget dubbing dont dubbing gore fx gore,1
stupid bad joke,0
unnecessary iti dont,0
dont plain terrible,1
,0
couldnt fooled,1
bad bad worse stupid jokes bad cgi worse dont effects effects effects directtovideo crappy bad minutes rented directtovideo dont bad,0
stupid yourself yourself,1
,1
,1
drivel sit,0
confusing cheap,0
cheesy,0
,0
bad effects effects dont,1
slasher slasher bad effects bad bad dont dont laughable,0
,1
couldnt bad,1
bad sit,1
,1
bad bad boring couldnt,1
sit bad,0
bad plain dont bad,1
pile sucked scary junk stupid scary,0
,1
dont sit,1
bad predictable,0
,1
,1
waste,1
scared,1
,1
predictable yourself,0
dont fooled,0
,0
couldnt couldnt,1
dont sit,1
budget dumb,0
bad dont,1
filler,1
stupid bad dont waste,0
,1
slasher,0
bad effects effects boring bad unrealistic confusing stupid avoid costs,0
zombies gore zombies,1
worse seriously redeeming costs,0
awful cheap,1
,0
dumb,0
laughing,1
,1
predictable,1
effects waste,0
corny,1
,1
couldnt spoiling,0
couldnt holes illogical effects bad,0
jokes,0
dont bad couldnt bad couldnt rental,0
laugh,1
,1
rent,1
dont horrible stupid laugh dont boring dont,0
blockbuster,0
bad,1
rubbish,1
couldnt effects spoiler laughing cheesy,0
,1
dont dont dont,0
please dont,1
terrible,0
,0
,0
,1
shelf minutes dubbing,0
cheesy cheesy unless bin dont dont,0
stupidest dont,0
,0
scary crappy effects renting,0
couldnt waste horrible bad,0
stupid worse stupid sucked excuse terrible confusing,0
wouldnt,1
dont laugh dont,1
dont,0
,0
minutes joke laugh minutes laugh,1
dont dont cheap bad,0
waste itif dont boring,0
please sucked rent,0
dont stoned dont,0
minutes minutes,0
dont existent rubbish,0
worse lowest sit wouldnt,1
,1
couldnt,0
terrible dont rent 90,0
walmart sit couldnt minutes budget horrible horrible effects cgi cutouts cgi excuse minutes effects effects tomatoes excuse unless effects shelf,0
rubber,0
waste,0
,1
unnecessary,1
,1
suck bad lame,0
rent joke terrible scary bother dont,0
laugh bad stink predictable bad bad,0
awful 90 awful,0
jokes laughing,1
bad,0
effects,0
pointless dont bad dont dont dont 210,0
unless joke bothered,1
bad scary hype minutes,1
mess bad waste laugh,0
budget,1
,1
scary disbelief bad awful,0
dont awful bad,0
,1
avoid minutes,1
couldnt sucks,0
bad,1
,1
bad joke jokes laugh laugh,0
lame awful crap unnecessary lousy,0
,1
,1
sucks crap,1
,1
rent,1
,1
bad bad cheap halfway bad budget,0
bad,1
couldnt effects,1
laughable trash,0
spoiler waste predictable dont bad moviei,0
,1
dont halfway bad,1
terrible,1
whatsoever wouldnt jokes worse jokes jokes,0
,1
dont bad cheesy budget dont,1
dont,1
bad,1
wouldnt,0
horrible rubbish waste,0
,1
lame,1
dont seriously minutes,0
,1
,1
rented,1
bad spoiling dont,1
,1
laugh,1
yourself yourself,1
bad wouldnt bother effects wouldnt budget budget dont sucks,1
minutes terrible,1
bad rubbish pointless,1
dont wouldnt lame,0
,1
seriously unrealistic dont,0
poorly poorly,0
worse boring bad awful,0
couldnt,0
couldnt 90 bad bad cheesy effects,0
worthless horrible,0
pathetic disgusting sit avoid costs,0
sequels bad lame jokes worse sequels bad worse,0
bad,1
reviews minutes minutes,1
worse,0
halfway,0
lame excuse,0
laugh effects plain,1
boring waste boring boring boring,0
,1
spoiling,0
slasher slasher gore slasher gore budget slasher,1
please,1
awful terrible scared pointless corny scare bad illogical itif scare laugh,1
avoid,1
budget crap,1
stupid,1
gore awful,0
jokes crap,1
awful bad,0
,1
effects bad,1
pg13 scary,1
effects remotely sucked holes dont wouldnt zombies zombies stupid zombies minutes wouldnt,0
rent budget avoid costs,1
spoiler spoiler halfway,0
,1
pathetic plain joke bad laugh download,0
sit,0
stupidest,0
jokes dont,1
awful laughable effects budget wouldnt effects crap,0
,1
confusing seriously laugh laugh predictable laugh dont,0
honestly bad horrible confusing,0
unnecessary minutes wouldnt bad dont garbage,0
seriously redeeming poorly,0
bad confusing,1
budget effects waste,0
,1
rent bad dumb,0
scary,0
yourself remotely,0
laugh laugh,1
suck,0
minutes,0
bad terrible toilet vomit couldnt dont waste dont,0
gore bad bad,1
dumb,0
scared laughable budget swearing scary ityou,1
confusing,1
dont boring dont asleep dont,0
wouldnt cheesy predictable unoriginal bad bother bad seriously yourself rent,0
awful redeeming nudity yourself,0
,1
bad,0
dont bad,1
waste stupid asleep laughing waste idiots terrible waste,0
cheesy budget scarier ityou,1
dont dont,0
remotely laugh,0
sit mindless,1
dont dont,1
dont crap horrible dont,0
,1
rent,0
rented joke laughing unless laugh dont laugh yourself,1
yourself,1
please please,1
wrap,1
redeeming worse dont mindnumbingly boring terrible waste,0
pointless minutes minutes,0
scary,1
couldnt laugh,1
dont dont,1
,1
please worse,1
,1
bad confusing itso,0
bad gore predictable horrible worse,0
,1
,1
bad halfway redeeming effects horrible waste,0
toilet asleep halfway,1
awful boring,0
laugh excuse predictable laugh predictable jokes dont,0
bad,0
,1
dont,1
garbage,0
waste boring terrible boring,0
,0
waste crap effects hype dont,1
couldnt,1
bad redeeming,1
horrible plain,0
tripe crap minutes dont waste rent,0
terrible bad bad bad bad effects bad slasher minutes unless,0
sit,1
remotely worse,0
laugh unless blockbuster dont dont rented rent 0,0
joke,1
bad,0
,1
couldnt dont redeeming dont,0
waste boring,1
dont bad awful bad bad bad redeeming worse,0
lame cheap lowest,0
dont dont bother,1
,1
boring amateurish,1
please dont crap crap crappy dont couldnt bothered crap dont dont blockbuster rent toilet dont,0
couldnt slasher scary cheesy slasher stomach gore pg13 dont scary predictable bad slasher stupid dont waste,0
suck suck waste dumb please waste ityou sucks sucked sucked horrible,0
couldnt laughing cheesy,0
laughing popcorn rented minutes unfunny garbage wasting minutes terrible honestly popcorn joke,0
boring bad laughable crap plain boring rent,0
,1
,1
dont,0
halfway boring minutes effects,0
pathetic redeeming,1
effects gore couldnt,0
couldnt bothered 010,0
unless,0
holes holes holes holes,1
,1
sit,0
bad unnecessary,0
reviews wouldnt,1
bad,1
,0
bad,0
laughing lame stupid dumbest unwatchable laughing bad,0
bad bad stupid dont bother,0
predictable predictable unnecessary unnecessary,0
,0
minutes freaking,1
dont,0
dont,1
dont plain,1
dumb,0
,1
horrible predictable bad predictable waste,0
bothered,0
itd wasting budget,0
effects boring scary,1
iti,1
stupid horrible bad unfunny dont,0
halfway boring bad dont minutes,0
,1
,1
itll minutes,1
,1
honestly,1
,1
,1
,1
seriously effects awful cheesy,0
sht,1
gonna dont dont stupid wouldnt,1
disgusting redeeming shoddy terrible horrible,0
wouldnt whatsoever budget,0
gore,0
rented,1
couldnt costs,1
figured,0
effects sit effects stupid,1
,1
crap stupid waste suck gonna plain stupid minutes couldnt dont joke yourself minutes,0
bad crap,0
jokes joke laugh laugh,1
couldnt sit stomach dont,1
unnecessary rental,1
,1
rent moviei,1
pointless,0
dont plain,1
redeeming dont bad boring pointless,0
cheap please bother,0
excuse dumb dont bad bad bad popcorn,1
sequels,1
,0
predictable slasher dont bother dont laugh,0
sit stupid laugh bad laugh bad,1
moviei,1
dont,1
spoiler,1
dont minutes minutes,1
awful excuse cheap effects rehash straighttovideo wouldnt avoid garbage,0
,0
couldnt nudity awful,0
boring,0
dont bad,0
reviews,1
,1
iti,1
freaking abomination terrible horrible terrible terrible crappy dumbest 110,0
terrible rent rent minutes,0
,0
effects explosions dont,1
cheap bad dont,1
zombies zombies bad 90 minutes zombies dont,0
scary laugh scary bad laugh dont,1
scare sit cheap plain,1
bad bad dont awful cheesy cheesy,0
,1
,1
bad bad ghoulies sit effects zombies wouldnt waste 90 minutes dont,0
please dont waste predictable predictable lame dont waste,0
rubber mouths,0
wouldnt sucked netflix wouldnt predictable couldnt,0
wouldnt dont cents,0
wouldnt wouldnt waste garbage renting please,0
junk renting dumb nudity nudity,0
bad laughing dont jokes,1
,1
terrible bad remotely worse,1
bad effects seriously,0
reviews dont effects bad bad,0
dont terrible awful,0
previews unfunny worse,0
wouldnt bad redeeming laugh,0
,0
rented,1
bad bad bad crappy bad,0
bothered barrel dont couldnt,1
crap sucked terrible,0
scary,1
minutes dont slasher disbelief tripe laugh,0
amateurish dont plain 310,0
,0
,1
,1
renting,1
dont unnecessary,1
,1
ripped renting worse bad renting asleep,0
,1
,1
,1
minutes effects,1
please,1
lame,1
dont holes couldnt boring,1
nudity bad dumb unless bad bad dont seriously,0
,0
popcorn,1
budget plain,1
bad,1
predictable gonna stupid bad unoriginal budget crap waste,0
rushed,1
waste swear bad,0
,1
,1
,0
dont bad,1
awful boring crap bad awful crap please crap bad bad,0
,1
rent kidding bad 110 avoid,0
dont couldnt,0
mess confusing predictable plain awful,0
rushed,1
,0
laughable dont,0
disgusting,0
wouldnt,0
,1
,1
dont worse rubbish please bad dont bad lousy poorly bad worse lousy spoiler dont dont,0
scary scary yourself renting unless rental,0
,1
bad bad,0
dont,1
sequels,1
,1
cheesy worse dont dont bother unless,0
dont dont dumb morons,0
boring,0
,1
figured,0
slasher slasher slasher stupid slasher slasher idiots slasher,1
bad bad bad bad,0
yourself,1
bother pointless predictable unoriginal bad dont,0
laughable,1
gore,0
rent,1
,1
sit minutes pointless horrible laugh,0
minutes,1
boring,1
thisi dont spoiler,0
budget,1
,1
,1
bad dont warn warn,0
,1
gore excuse filler nudity,0
,0
,1
,1
,1
,1
dont blockbuster shelf rented figured avoid cheesy dont,0
,0
stupid terrible laugh boring,0
,1
honestly,1
iti,1
spoiling effects yourself itll,1
,0
yourself bad,1
bad bad,0
please swear laughing,0
disgusting seriously,1
worse dont honestly seriously dont dont horrible wouldnt honestly pathetic wouldnt,0
,0
minutes cheap,0
ripped,0
awful dont terrible bad awful effects bad cgi,0
scary bad,0
lousy tomatoes bad bad worse budget horrible waste laughable pathetic nudity awful waste avoid trash bad worse waste rental,0
,0
,1
scary,1
,0
dunno swearing dont,0
nudity,1
minimum dumb,0
,1
,0
unless gore gore cheesy cheap zombies dont dubbing cheesy,0
waste kidding dont waste,0
mess crappy bad joke,0
dont,0
,0
,0
bad terrible minutes fx poorly,0
laugh joke joke,1
reviews dont trash dont bad bad,1
unimaginative dont pathetic vomit horrible stomach pointless dont,0
yourself unless terrible terrible,0
,1
,0
,1
awful confusing spoiler unnecessary please kidding bad stupid,0
waste,0
reviews boring unnecessary dont fooled stupid,0
spoiler honestly horrible,1
dont dont,0
bad worse,0
sit boring mins,1
bother cringe please suck meaningless rent,0
shoddy crappy terrible predictable bad bad dont bother,0
,1
rushed effects,0
stupid dont bad,1
critters waste bad bad rubber bad godawful laugh,0
excruciatingly boring lousy minutes effects bad bad rented,0
dont please dont,1
,1
dont couldnt,1
dont gore nudity dont onei dont minutes cheap itif 110,0
horrible waste poorly dont waste,0
,1
mess bad lame yourself bad,0
laughable terrible bad morons bad dubbing pathetic remotely remotely,0
,1
bad cgi terrible,0
trash dont,1
,1
please halfway dont asleep asleep,1
sucks laughing,1
crap awful gore unrealistic offended 010,0
bad,0
laughable predictable,0
dont amateurish dont yourself,1
tomatoes tomatoes tomatoes scared seriously jokes,0
,1
joke,1
dont,1
pile unrealistic waste,0
effects cheap boring renting sit,0
bad sit,0
minutes,1
,1
gonna bad,1
,1
bad awful bad scarier dont minutes predictable,0
yourself terrible seriously bad wanna,0
unless dont,0
amateurish shoddy bad bad halfway poorly dont bother,0
reviews laughable laugh,0
,1
,0
dont,1
awful boring,0
dont freaking dont,0
worse couldnt fetched effects wouldnt cheap,0
,1
,1
bad,1
lowest,1
dont holes,1
,1
predictable bad,0
unoriginal wouldnt bad awful stupid,0
bad couldnt bad dont yourself bad stupid dont,0
dont dont,0
,1
,1
sucked minutes suck dont seriously,0
,1
laughable unrealistic corny budget dont,0
,0
whatsoever wouldnt,1
holes confusing,0
laugh laugh,1
please dont waste bad please waste waste,0
,0
bad whatsoever unrealistic,0
laugh laugh,1
dont pathetic,0
stupid trash trash trash dumber dont wouldnt,0
,0
bothered,0
pointless dont bother rent yourself,0
dont plain,1
terrible cheap terrible effects bad scary,0
,1
dont budget unnecessary horrible,1
90 minutes effects thisi,0
effects sit,0
,1
netflix worse reviews please amateurish drivel dont warn,0
minutes minutes,1
horrible whatsoever couldnt dont,0
bad,0
bothered zombies excuse zombies zombies zombies,0
310,0
terrible dont,0
unless dont bother,0
unrealistic,0
bothered dont boring,1
dont,1
dont sit,1
jokes laugh dont,1
,1
bad lousy incoherent suck,0
bad,1
boring worse,1
please confusing,1
reviews,1
dumb,1
laughing,1
dont dont,0
horrible worse please please,0
download,0
couldnt,1
bad holes,0
couldnt crap,1
,1
boring laugh,0
,1
dont jokes bothered,0
minutes dont sit minutes,0
moviei cheesy,1
,1
,0
,1
spoiler swearing,0
budget effects bad dont stupid scary avoid bin,0
scary bad scarier zombies scare scary yourself,1
jokes boring unless trash unless,0
dont dubbing dubbing dunno,0
horrible dont minutes,1
,1
fx honestly minutes boring fx fx cos,0
terrible terrible effects terrible horrible boring waste,0
budget,0
puppets,1
,1
sequels,1
iti minutes couldnt budget waste dont,0
,1
,0
dont minutes,1
bad waste,0
boring wouldnt bad gore minutes 310 minutes,0
stupid scary walmart gore terrible slasher poorly slasher terrible dont 310 310 210 110 210 110 nudity 010 bad crap laughable,0
effects,0
dont cheap cheap dont terrible,1
,1
effects,0
,1
waste waste dumb stupid boring,0
,0
,1
dont dont,0
garbage wouldnt laughing bad dont dont scary,0
,1
honestly horrible horrible amateurish,0
rent bad swear pointless minutes minutes lousy boring,0
spoiling couldnt couldnt,0
dont,1
,1
garbage bad,1
minutes,1
dont dumb,1
couldnt,0
garbage,0
couldnt,1
costs,1
,1
bad warn amateurish seriously,1
dont unnecessary bad,0
awful awful dont wasting dont please yourself,0
garbage garbage effects effects,0
bother dont please awful jokes lame joke joke scared dont,1
,1
yourself yourself cheap continuity worse incoherent,0
90 minutes pointless waste,0
laugh bad,1
dont,1
dont scary scary,1
bad bad bad,0
awful bad stupid,0
minutes bad 0,0
joke,0
predictable unless dont waste unless dumber,0
remotely unless dont yourself waste,0
please,1
rent stupid bad,0
scared laughing scary,1
stunk,0
rent dont jokes lousy,1
budget,1
crappy dont costs,0
bad boring dont,1
blockbuster reviews reviews,1
cheesy jokes bad worse effects,0
lame unfunny disgusting couldnt lame crappy lame disgusting lame,0
terrible cheap effects dont nudity bad,0
90 minutes scared horrible laugh plain plain nudity nudity scary,0
awful warn minutes swearing worse worse,0
rent,1
,1
sucks predictable budget stupid,0
unfunny scary stupid minutes unfunny wouldnt bothered scary dont jokes disgusting avoid scary 110 unfunny,0
shelf,1
dont dont,1
,1
,0
dont honestly,0
,1
dont,0
dont bother,0
scare laugh,1
bad headache confusing predictable poorly dumb bad,0
wrap,1
dont,1
effects awful minutes yourself,0
warn awful dont,1
budget budget,1
,1
boring puke dont,1
bad bad bad bad bad bad couldnt dont waste,0
,1
remotely boring,0
cheesy bad cheesy,0
excuse bad bad terrible avoid,0
figured wouldnt seriously gore,1
,1
cheap,0
,1
dont dont,1
,1
continuity,0
yourself mess dont bad,0
minutes jokes,1
,1
awful bad,0
,1
dont,1
,1
fart redeeming bad laugh,1
awful dont,1
bad boring unimaginative pointless terrible boring ebay avoid,0
dont,1
dont worse pathetic,0
pile crap freaking pointless dont bother unless crappy,0
halfway,0
dont,0
bad effects,1
bad bad boring,0
bad,1
bother,1
trash,1
fooled honestly whatsoever scary horrible bad bad,0
budget swear bad,0
bad,1
amateurish shoddy rubbish budget nudity whatsoever horrible effects bad avoid,0
boring,1
,1
dont,1
bad dont,1
terrible continuity awful effects minutes bad poorly,0
confusing confusing reviews remotely,0
jokes laugh,0
couldnt pathetic dont yourself laugh pathetic,0
dont,0
stoned,1
garbage,1
dont cheap garbage dont garbage,0
zombies zombies zombies zombies swear,1
dont bad dont predictable reviews gore bad,0
yourself 90 minutes,0
,0
budget nudity terrible nudity bad seriously wasting terrible gore terrible,1
laugh wouldnt terrible,0
,1
dont honestly cheap honestly,0
jokes,1
seriously,1
trash,1
bad boring minutes cheap,0
gonna,0
scary,1
unfunny bad dont,1
110,0
please minutes,0
boring awful please avoid,0
couldnt,1
dont morons dont incoherent dont dont dont dont joke trash,0
slasher boring slasher rubbish slasher wouldnt slasher,0
bad dont awful,0
pathetic worse bad holes horrid confusing lame cheap rented sucked,0
dont please,0
boring,1
moviei poorly awful,0
nudity fastforward nudity,0
halfway,1
dont bad pointless honestly wouldnt,0
,0
stupid cheesy effects shoddy,1
bad reviews bad bad stupid,0
,1
minutes predictable headache dont minutes,0
,1
wouldnt bad,0
scary,1
plain lame minutes spoiler bother dumb dumber spoiler,0
dont 210 110 minutes toilet avoid,0
holes worse unnecessary gonna rent,0
cheesy straighttovideo rubbish,1
awful horrible whatsoever halfway awful,0
scary laughing kidding budget effects unless laugh joke,0
minutes bad minutes dont budget worse horrible minutes horrible bad bad,0
ripped pile dont minutes predictable couldnt,1
bad rent rent bad scared pathetic crap,1
,1
,1
holes yourself suspend scary scary avoid costs,1
drivel redeeming,0
boring dont bad laugh,1
jokes continuity holes dont fooled bad,1
unrealistic rushed predictable predictable bad,1
bad spoiler spoiler,0
,1
,1
bad,0
minutes,0
,1
bad couldnt costs,0
,1
effects crappy,0
bad,1
dont,0
honestly predictable remotely dont waste unless,0
bad minutes bad dont,0
budget,1
bad effects effects effects effects,1
honestly minutes unless honestly dont joke honestly sit,0
wanna budget predictable yourself effects dont,0
reviews rent poorly nudity unnecessary anticlimatic waste,0
please,1
minutes joke minutes,1
poorly slasher bad waste,0
pointless 110,0
costs joke cheap sucks,0
,1
dont unfunny boring stupid bad dont couldnt bad bad,0
whatsoever horrible boring,0
minutes minutes,0
,1
rental,1
sucked,1
fooled renting junk bad minutes plain boring stupid,0
effects boring,1
bad couldnt laughing bad worse awful bad,0
terrible,1
halfway bad,0
renting bad ityou wouldnt wouldnt wrap bad dont,1
sht sht pg13 dont,0
thisi bother,1
dont rubbish,1
remotely garbage garbage,0
excuses incoherent,0
laughing freaking laugh offended dont dont please dont dont,1
dumb dumb dumbest dumb dumb pointless,0
,1
reviews jokes,1
joke laughing waste pathetic wouldnt,0
horrible swear sit minutes barrel wouldnt mess barrel,0
,1
,1
minutes blockbuster,0
,1
boring gore effects waste,0
,1
warn reviews budget dont,1
bad sucked nudity terrible bad effects cheap bad,0
nudity nudity pointless jokes jokes,0
sit effects dont,0
,0
bad,0
iti,1
minutes,1
dont disgusting terrible,1
bad,1
,1
budget dubbing,0
,0
gonna bad pathetic please dont,0
,1
mess bad bad horrible,0
,1
scary effects scary,1
rental predictable,0
sucked bad,1
dont,0
mins,1
godawful sit bad,0
boring dont,1
laugh bad dont,1
bothered laugh laughing yourself laughing,1
dont,1
dont,1
dont dont sequels,0
dont,0
dont rent,1
bad bad,0
wouldnt confusing,0
scary,1
,1
minutes minutes rewind,1
bad,1
,1
,1
trash please dumb please minutes redeeming bad laughing bad worse cgi wouldnt yourself wasting,0
sit boring 90 minutes,0
avoid bad bad nudity,0
effects bad boring unless minutes explosions effects poorly bad,0
,1
sucks bad 0,0
asleep dont,1
reviews dont,1
,0
couldnt bad whatsoever budget mess kidding dont bad,0
sit minutes terrible plain bad dont poorly budget plain terrible awful moviedont waste unless laugh bad,0
,1
bad excuses,0
popcorn budget effects dumb honestly,1
crap dumb,0
trash,1
minutes avoid,0
soooo,1
minutes couldnt,0
netflix,1
terrible asleep,0
,1
effects effects dont,0
,1
scary gore shoddy,1
predictable poorly unless worse tripe,0
dont dont,0
dont worse worse,0
dont,1
effects continuity,1
slasher dont dont scary,0
poorly poorly yourself,0
laugh,1
horrible honestly,1
unrealistic,1
bad bad,1
bad stupid crap jokes remotely dont waste awful,0
plain,0
laugh seriously,1
continuity,1
budget reviews bad,0
,1
210,0
mindless bad,0
jokes crap laugh jokes lame honestly,0
lousy,0
cheesy dont corny dont scary rent,0
,1
cheesy,1
lame dumb eaten dont bad bad,0
,1
minutes budget effects bad minutes minutes,1
renting laughable sit dont bad,0
shelf seriously minutes lame,1
gore,1
sucks sucks sucks bad minutes budget joke trash dont gonna,0
confusing dont meaningless drivel couldnt couldnt garbage dont minutes horrid,0
,1
effects morons,1
horrible bad crap,0
,0
,1
,0
walmart horrible,0
bad,1
bad boring,0
seriously couldnt effects unnecessary couldnt terrible awful sit,0
crap bad pathetic morons crap stupid bad,0
amateurish junk minutes effects laughable,0
minutes moviei,1
seriously joke rubbish,1
sequels 90 minutes boring minutes minutes boring mess,0
budget lowest slasher bad bad nudity effects bad budget bad,0
predictable,0
rent minutes stupid,0
boring rent avoid yourself,0
waste 90 poorly junk waste 90,0
lame dont,0
mess suffice,1
dont bad,0
camcorder dont boring bothered,1
,0
spoiler,1
cgi laughable,0
,1
unwatchable joke,1
bad,0
jokes dumb,1
scary couldnt couldnt dont dont couldnt wouldnt dont,0
